"AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_COUNTRY_NAME","AIRPORT_STATE_NAME","CITY_MARKET_ID","LAT_DEGREES","LAT_HEMISPHERE","LAT_MINUTES","LAT_SECONDS","LATITUDE","LON_DEGREES","LON_HEMISPHERE","LON_MINUTES","LON_SECONDS","LONGITUDE","UTC_LOCAL_TIME_VARIATION","AIRPORT_START_DATE","AIRPORT_THRU_DATE","AIRPORT_IS_CLOSED","AIRPORT_IS_LATEST",
10247,"AKP","Anaktuvuk Pass Airport","Anaktuvuk Pass, AK","United States","Alaska",30247,68,"N",8,15,68.13750000,151,"W",44,24,-151.74000000,"-0900",1950-01-01,2011-06-30,0,0,
10247,"AKP","Anaktuvuk Pass Airport","Anaktuvuk Pass, AK","United States","Alaska",30247,68,"N",8,1,68.13361111,151,"W",44,36,-151.74333333,"-0900",2011-07-01,,0,1,
10248,"AKR","Akure Airport","Akure, Nigeria","Nigeria","",30248,7,"N",15,30,7.25833333,5,"E",18,15,5.30416667,"+0100",1960-10-01,2011-06-30,0,0,
10248,"AKR","Akure Airport","Akure, Nigeria","Nigeria","",30248,7,"N",14,48,7.24666667,5,"E",18,4,5.30111111,"+0100",2011-07-01,,0,1,
10249,"AKS","Auki Airport","Auki, Solomon Islands","Solomon Islands","",30249,8,"S",41,52,-8.69777778,160,"E",40,51,160.68083333,"+1100",1978-07-01,2011-06-30,0,0,
10249,"AKS","Auki Airport","Auki, Solomon Islands","Solomon Islands","",30249,8,"S",42,9,-8.70250000,160,"E",40,54,160.68166667,"+1100",2011-07-01,2013-01-31,0,0,
10249,"AKS","Auki Gwaunaru University","Auki, Solomon Islands","Solomon Islands","",30249,8,"S",42,9,-8.70250000,160,"E",40,54,160.68166667,"+1100",2013-02-01,2015-03-31,0,0,
10249,"AKS","Auki Airport","Auki, Solomon Islands","Solomon Islands","",30249,8,"S",42,9,-8.70250000,160,"E",40,54,160.68166667,"+1100",2015-04-01,,0,1,
10250,"AKT","Akrotiri Airport","Akrotiri, Cyprus","Cyprus","",30250,34,"N",35,25,34.59027778,32,"E",59,15,32.98750000,"+0200",1992-12-01,2011-06-30,0,0,
10250,"AKT","Akrotiri Airport","Akrotiri, Cyprus","Cyprus","",30250,34,"N",35,25,34.59027778,32,"E",59,16,32.98777778,"+0200",2011-07-01,,0,1,
